team_name,id,games_played,wins,losses,overtime_losses,win_pct,points,goals_for,goals_against,home_wins,home_losses,home_overtime_losses,home_win_pct,home_points,home_goals_for,home_goals_against,road_wins,road_losses,road_overtime_losses,road_win_pct,road_points,road_goals_for,road_goals_against,division_rank,conference_rank
Golden Knights,42376e1c-6da8-461e-9443-cfcf0a9fcc4d,10,8,2,0,0.8,16,32,17,5,1,0,0.833,10,17,7,3,1,0,0.75,6,15,10,1,1
Oilers,4415ea6c-0f24-11e2-8525-18a905767e44,9,6,3,0,0.667,12,34,28,3,3,0,0.5,6,22,20,3,0,0,1.0,6,12,8,2,2
Flames,44159241-0f24-11e2-8525-18a905767e44,7,5,2,0,0.714,10,24,20,4,2,0,0.667,8,20,17,1,0,0,1.0,2,4,3,3,5
Kraken,1fb48e65-9688-4084-8868-02173525c3e1,10,4,4,2,0.4,10,33,34,2,3,1,0.333,5,18,21,2,1,1,0.5,5,15,13,4,7
Kings,44151f7a-0f24-11e2-8525-18a905767e44,10,5,5,0,0.5,10,36,41,2,3,0,0.4,4,16,18,3,2,0,0.6,6,20,23,5,8
Canucks,4415b0a7-0f24-11e2-8525-18a905767e44,9,2,5,2,0.222,6,28,35,1,2,0,0.333,2,8,9,1,3,2,0.167,4,20,26,6,13
Sharks,44155909-0f24-11e2-8525-18a905767e44,11,3,8,0,0.273,6,24,34,1,5,0,0.167,2,14,21,2,3,0,0.4,4,10,13,7,14
Ducks,441862de-0f24-11e2-8525-18a905767e44,9,2,6,1,0.222,5,20,39,2,1,0,0.667,4,11,11,0,5,1,0.0,1,9,28,8,16
Stars,44157522-0f24-11e2-8525-18a905767e44,9,5,3,1,0.556,11,28,21,3,1,0,0.75,6,14,8,2,2,1,0.4,5,14,13,1,3
Jets,44180e55-0f24-11e2-8525-18a905767e44,9,5,3,1,0.556,11,26,25,2,1,0,0.667,4,9,5,3,2,1,0.5,7,17,20,2,4
Blackhawks,4416272f-0f24-11e2-8525-18a905767e44,9,4,3,2,0.444,10,31,31,3,1,1,0.6,7,21,19,1,2,1,0.25,3,10,12,3,6
Avalanche,4415ce44-0f24-11e2-8525-18a905767e44,9,4,4,1,0.444,9,29,27,1,1,1,0.333,3,10,9,3,3,0,0.5,6,19,18,4,9
Wild,4416091c-0f24-11e2-8525-18a905767e44,9,4,4,1,0.444,9,31,35,1,3,0,0.25,2,16,23,3,1,1,0.6,7,15,12,5,10
Predators,441643b7-0f24-11e2-8525-18a905767e44,9,3,5,1,0.333,7,22,29,2,3,1,0.333,5,15,17,1,2,0,0.333,2,7,12,6,11
Blues,441660ea-0f24-11e2-8525-18a905767e44,7,3,4,0,0.429,6,18,25,1,2,0,0.333,2,10,12,2,2,0,0.5,4,8,13,7,12
Coyotes,44153da1-0f24-11e2-8525-18a905767e44,8,2,5,1,0.25,5,23,35,0,1,1,0.0,1,4,6,2,4,0,0.333,4,19,29,8,15
Devils,44174b0c-0f24-11e2-8525-18a905767e44,9,6,3,0,0.667,12,31,23,4,2,0,0.667,8,19,15,2,1,0,0.667,4,12,8,1,2
Rangers,441781b9-0f24-11e2-8525-18a905767e44,10,5,3,2,0.5,12,31,31,2,1,2,0.4,6,14,16,3,2,0,0.6,6,17,15,2,3
Flyers,44179d47-0f24-11e2-8525-18a905767e44,8,5,2,1,0.625,11,24,21,3,1,1,0.6,7,15,14,2,1,0,0.667,4,9,7,3,4
Hurricanes,44182a9d-0f24-11e2-8525-18a905767e44,8,5,2,1,0.625,11,26,23,1,1,0,0.5,2,6,7,4,1,1,0.667,9,20,16,4,5
Islanders,441766b9-0f24-11e2-8525-18a905767e44,9,5,4,0,0.556,10,33,24,4,2,0,0.667,8,22,14,1,2,0,0.333,2,11,10,5,9
Capitals,4417eede-0f24-11e2-8525-18a905767e44,9,5,4,0,0.556,10,28,26,3,1,0,0.75,6,15,13,2,3,0,0.4,4,13,13,6,10
Penguins,4417b7d7-0f24-11e2-8525-18a905767e44,9,4,4,1,0.444,9,32,29,3,0,0,1.0,6,18,5,1,4,1,0.167,3,14,24,7,14
Blue Jackets,44167db4-0f24-11e2-8525-18a905767e44,10,3,7,0,0.3,6,26,44,2,4,0,0.333,4,17,27,1,3,0,0.25,2,9,17,8,16
Bruins,4416ba1a-0f24-11e2-8525-18a905767e44,9,8,1,0,0.889,16,39,21,6,0,0,1.0,12,25,12,2,1,0,0.667,4,14,9,1,1
Panthers,4418464d-0f24-11e2-8525-18a905767e44,9,5,3,1,0.556,11,29,28,3,0,1,0.75,7,14,11,2,3,0,0.4,4,15,17,2,6
Sabres,4416d559-0f24-11e2-8525-18a905767e44,8,5,3,0,0.625,10,29,22,2,2,0,0.5,4,13,11,3,1,0,0.75,6,16,11,3,7
Red Wings,44169bb9-0f24-11e2-8525-18a905767e44,8,4,2,2,0.5,10,25,24,3,1,1,0.6,7,16,13,1,1,1,0.333,3,9,11,4,8
Lightning,4417d3cb-0f24-11e2-8525-18a905767e44,9,5,4,0,0.556,10,28,28,1,1,0,0.5,2,7,6,4,3,0,0.571,8,21,22,5,11
Canadiens,441713b7-0f24-11e2-8525-18a905767e44,9,5,4,0,0.556,10,27,27,3,2,0,0.6,6,16,15,2,2,0,0.5,4,11,12,6,12
Maple Leafs,441730a9-0f24-11e2-8525-18a905767e44,10,4,4,2,0.4,10,27,30,3,1,0,0.75,6,11,10,1,3,2,0.167,4,16,20,7,13
Senators,4416f5e2-0f24-11e2-8525-18a905767e44,8,4,4,0,0.5,8,30,27,4,1,0,0.8,8,24,15,0,3,0,0.0,0,6,12,8,15
